Date ,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
05-Jul-23,19295.35,19317.6,19239.85,19297.95,441780331,31679.87
06-Jul-23,19293.15,19410.05,19279.65,19397.1,504875960,35503.7
07-Jul-23,19333.55,19426.8,19205.25,19233.6,462801368,30429.9
10-Jul-23,19299,19316.9,19213.5,19239.8,437531389,31761.42
11-Jul-23,19307.35,19403.35,19288.2,19333.6,471580820,34616.46
12-Jul-23,19389.4,19398.1,19274.55,19293.7,531120085,49430.36
13-Jul-23,19400.35,19466.4,19275.4,19304.85,673359664,35333.35
14-Jul-23,19386.3,19482.7,19321.7,19454,533799057,32303.9
17-Jul-23,19500.35,19602.8,19457.75,19584.8,455264066,32293.03
18-Jul-23,19657.95,19681.65,19548.95,19605.85,490350122,40057.5
19-Jul-23,19658.65,19706.8,19596.6,19690.7,433185742,32412.45
20-Jul-23,19694.2,19822.95,19622.6,19811.9,445266713,37839.41
21-Jul-23,19655.25,19732.25,19562.4,19602.6,541969877,41098.04
24-Jul-23,19610.3,19642.8,19526.65,19540.45,499229214,32175.63
25-Jul-23,19593.75,19593.75,19491.05,19566.9,613056674,38176.96
26-Jul-23,19623.8,19706.35,19600.95,19662,468455875,30572.64
27-Jul-23,19731.55,19752.45,19510.3,19566.7,571516707,43179.85
28-Jul-23,19576.65,19606.45,19498.55,19580.65,584482867,32514.65
31-Jul-23,19598.9,19697.45,19545,19679.35,563542450,31729.75
01-Aug-23,19712.85,19722.1,19630.7,19659.85,514381765,32180.95
02-Aug-23,19590.55,19610,19339.75,19447.1,560545873,33188.9
03-Aug-23,19388.55,19453.9,19222.4,19310.9,822524821,44466.39
04-Aug-23,19394.75,19472.5,19378.4,19448.75,866019351,39415.32
07-Aug-23,19509.9,19546.15,19451.2,19521.85,642666057,31426.64
08-Aug-23,19554.6,19560.55,19450.1,19497.45,595738903,34093.78
09-Aug-23,19510.6,19565.7,19403.05,19554.75,511719386,30489.45
10-Aug-23,19535.55,19548.9,19423.5,19463.1,564705656,37486.35
11-Aug-23,19482.3,19484.4,19343.25,19359,461188158,33085.87
14-Aug-23,19313.45,19363.55,19153.7,19330.8,455062165,30435.9
16-Aug-23,19268.05,19375.05,19212.75,19358.05,429527871,30246.73
17-Aug-23,19350.8,19361.6,19236.3,19264.6,425792941,32210.52
18-Aug-23,19208.25,19273.15,19157.45,19209.35,435822563,33076.5
21-Aug-23,19224.05,19333.2,19205.25,19303.4,408731332,26388.31
22-Aug-23,19333.05,19364.25,19305.5,19325.45,455436259,27838.2
23-Aug-23,19371.35,19397,19302.7,19362.55,448647247,28415.11
24-Aug-23,19458.35,19504.2,19306.65,19323.35,470349100,31801.85
25-Aug-23,19242.55,19278.5,19162.7,19193.9,685637563,31381.8
28-Aug-23,19235.9,19299.1,19183.35,19243.65,506996567,24539.67
29-Aug-23,19311.7,19313.15,19259.45,19291.25,508563290,29165.39
30-Aug-23,19383.7,19400.65,19295.35,19307.5,598023745,27715.2
31-Aug-23,19331.35,19338.55,19178,19204.8,876026705,59940.55
01-Sep-23,19212.9,19403.75,19210.15,19382.95,622104423,34028.33
04-Sep-23,19473.4,19499.75,19382.95,19485.5,636244798,33143.69
05-Sep-23,19525.15,19542.8,19482.2,19531.2,536706150,31269.68
06-Sep-23,19542,19599.95,19464.1,19578.25,706342177,40487.23
07-Sep-23,19572.1,19703,19533.15,19690.5,574476898,31906.95
08-Sep-23,19741.3,19834.9,19703.65,19789.3,585954504,33788
11-Sep-23,19864.9,19981,19841.75,19970.8,547126947,32001.16
12-Sep-23,20082.1,20082.4,19835.05,19905.2,662984986,40549.94
13-Sep-23,19900.85,20000.5,19844.75,19977.8,496304827,31447.23
14-Sep-23,20040.55,20083.7,19961.4,20024.8,485429129,29099.26
15-Sep-23,20079.75,20136.3,20048.75,20108.4,810606190,53293.43
18-Sep-23,20092.95,20115.5,20039.75,20056.15,560901210,30259.39
20-Sep-23,19919,19984.15,19809.55,19832.6,658163236,46128.58
21-Sep-23,19779.2,19784.8,19641.2,19674.8,465826194,33415.09
22-Sep-23,19679.5,19732.8,19597.2,19614.2,474199840,32422.23
25-Sep-23,19622.05,19663,19539.7,19606.85,363901252,26544.03
26-Sep-23,19615.85,19640.95,19579.65,19606.05,367634046,24768.39
27-Sep-23,19583.4,19668,19498.45,19654.95,396763345,26475.33
28-Sep-23,19698.45,19703.35,19421.25,19451.65,602263622,39906.87
29-Sep-23,19511.45,19656.45,19482,19577.05,477429169,27699.51
03-Oct-23,19569.9,19571.5,19434.45,19492.7,545861728,30364.88
04-Oct-23,19416.05,19423.9,19277.3,19376.25,612220578,35518.55
05-Oct-23,19462.45,19504.35,19420.8,19476.05,634694993,30690.75
06-Oct-23,19554.4,19606.05,19524.7,19584.45,390795777,22594.33
09-Oct-23,19462.5,19504.65,19391.75,19428.9,399284007,21297.55
10-Oct-23,19485.95,19640.7,19484.75,19616.55,453810097,25622.34
11-Oct-23,19695.5,19767.15,19686.6,19736.8,526464996,27821.91
12-Oct-23,19755.95,19775.8,19709.2,19728.1,492034995,27332.57
13-Oct-23,19598.35,19744.3,19579.95,19691.7,485904867,30576.11
16-Oct-23,19678.1,19726.4,19636.4,19680.65,377959124,20625.27
17-Oct-23,19787.1,19792.75,19726.3,19758.9,383913850,22467.12
18-Oct-23,19769.35,19780,19600.35,19611.35,496419252,25695.03
19-Oct-23,19490.95,19613.75,19449.35,19562.3,411166790,29316.51
20-Oct-23,19488.25,19533.35,19450.3,19468.4,436682267,24630.9
23-Oct-23,19451.4,19482.7,19162.2,19189.1,443587211,22989.6
25-Oct-23,19196.75,19264.9,18977.15,19034.4,454670976,26532.76
26-Oct-23,18941.4,18954.55,18743.3,18780.6,665811140,37322.47
27-Oct-23,18859,19024.75,18856.9,18996.1,471501333,27819.66
30-Oct-23,19007.6,19096.5,18882.4,19080.85,376760268,23155.42
31-Oct-23,19174.6,19175.2,19012.35,19035.35,451053759,27213.13
01-Nov-23,19028.85,19061.95,18926.05,18942.3,449849941,25426.29
02-Nov-23,19074.55,19128.15,19028.15,19107.25,503435774,25846.56
